gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
919490574	1b412457-43cf-4a6f-b5c2-7acf01be5977	5714888	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea pleiosperma		SPECIES	Euptelea pleiosperma Hook.f. & Thomson	CN	壮堆	a2fa5b68-3ebf-4845-abc5-f456d251386f	27.740736	98.66582							1935-01-01T00:00:00Z			1935	3915937	3915937	PRESERVED_SPECIMEN	PE		e2136457-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		C.W.Wang			2018-12-08T06:39:07.887Z		TAXON_MATCH_FUZZY;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
919490573	1b412457-43cf-4a6f-b5c2-7acf01be5977	5714929	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea pleiosperma		SPECIES	Euptelea pleiosperma Hook.f. & Thomson	CN		a2fa5b68-3ebf-4845-abc5-f456d251386f	27.177166	99.28717							1935-01-01T00:00:00Z			1935	3915937	3915937	PRESERVED_SPECIMEN	PE		e213560e-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		王启无			2018-12-08T06:39:07.882Z		TAXON_MATCH_FUZZY;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
919490572	1b412457-43cf-4a6f-b5c2-7acf01be5977	5714933	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea pleiosperma		SPECIES	Euptelea pleiosperma Hook.f. & Thomson	CN		a2fa5b68-3ebf-4845-abc5-f456d251386f	27.177166	99.28717							1935-01-01T00:00:00Z			1935	3915937	3915937	PRESERVED_SPECIMEN	PE		e21354b1-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		王启无			2018-12-08T06:39:07.848Z		TAXON_MATCH_FUZZY;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
919490568	1b412457-43cf-4a6f-b5c2-7acf01be5977	5714886	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea pleiosperma		SPECIES	Euptelea pleiosperma Hook.f. & Thomson	CN	壮堆	a2fa5b68-3ebf-4845-abc5-f456d251386f	27.740736	98.66582							1935-01-01T00:00:00Z			1935	3915937	3915937	PRESERVED_SPECIMEN	PE		e21364c8-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		C.W.Wang			2018-12-08T06:39:07.912Z		TAXON_MATCH_FUZZY;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
919490567	1b412457-43cf-4a6f-b5c2-7acf01be5977	5714880	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea pleiosperma		SPECIES	Euptelea pleiosperma Hook.f. & Thomson	CN	一区怒江边比碧利	a2fa5b68-3ebf-4845-abc5-f456d251386f	27.740736	98.66582							1959-01-01T00:00:00Z			1959	3915937	3915937	PRESERVED_SPECIMEN	PE		e21366fd-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		昆明工作站			2018-12-08T06:39:07.937Z		TAXON_MATCH_FUZZY;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
919490566	1b412457-43cf-4a6f-b5c2-7acf01be5977	5714900	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea pleiosperma		SPECIES	Euptelea pleiosperma Hook.f. & Thomson	CN		a2fa5b68-3ebf-4845-abc5-f456d251386f	27.177166	99.28717							1935-01-01T00:00:00Z			1935	3915937	3915937	PRESERVED_SPECIMEN	PE		e2135fe8-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		C.W.Wang			2018-12-08T06:39:07.870Z		TAXON_MATCH_FUZZY;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
919490563	1b412457-43cf-4a6f-b5c2-7acf01be5977	5714891	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea pleiosperma		SPECIES	Euptelea pleiosperma Hook.f. & Thomson	CN	叶枝	a2fa5b68-3ebf-4845-abc5-f456d251386f	27.177166	99.28717							1935-01-01T00:00:00Z			1935	3915937	3915937	PRESERVED_SPECIMEN	PE		e21362fc-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		C.W.Wang			2018-12-08T06:39:07.873Z		TAXON_MATCH_FUZZY;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
919490560	1b412457-43cf-4a6f-b5c2-7acf01be5977	5714898	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea pleiosperma		SPECIES	Euptelea pleiosperma Hook.f. & Thomson	CN		a2fa5b68-3ebf-4845-abc5-f456d251386f	27.177166	99.28717							1935-01-01T00:00:00Z			1935	3915937	3915937	PRESERVED_SPECIMEN	PE		e21360c8-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		C.W.Wang			2018-12-08T06:39:07.866Z		TAXON_MATCH_FUZZY;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
919490559	1b412457-43cf-4a6f-b5c2-7acf01be5977	5714895	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea pleiosperma		SPECIES	Euptelea pleiosperma Hook.f. & Thomson	CN	叶枝	a2fa5b68-3ebf-4845-abc5-f456d251386f	27.177166	99.28717							1935-01-01T00:00:00Z			1935	3915937	3915937	PRESERVED_SPECIMEN	PE		e2136215-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		C.W.Wang			2018-12-08T06:39:07.908Z		TAXON_MATCH_FUZZY;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
919490558	1b412457-43cf-4a6f-b5c2-7acf01be5977	5714853	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Eupteleaceae	Euptelea	Euptelea pleiosperma		SPECIES	Euptelea pleiosperma Hook.f. & Thomson	CN	大具大火山	a2fa5b68-3ebf-4845-abc5-f456d251386f	26.876096	100.229945							1939-01-01T00:00:00Z			1939	3915937	3915937	PRESERVED_SPECIMEN	PE		e213703d-b6bf-11e1-8c2f-acd112e444a7				CC_BY_4_0		K.M.Feng			2018-12-08T06:39:07.929Z		TAXON_MATCH_FUZZY;GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
